"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
1,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.30824528250378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.57656157505699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.29435128369369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.30867090274114,0,0,0,-1.49467620498035,0,0,0,0,0,0,0,0,0,0
5,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.40157027938403,0,0,0,0,1.58579539787024,0,0,0,1.65878066711593,0,0,1.70947260479443,0,0
6,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.41012626385782,0,0,-1.56762741378043,0,0,0,0,-1.28140359628014,0,0,0,0,0,0
7,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.68883777444717,0,0,0,0,0,0,0,0,0,0,0,1.67387940280605,0,0
8,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.48650445835665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.61234353017062,1.34688654507045,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.44207278860267,0,-1.39601953618694,0,0,0,0,0,0,0,0,0,0,0,0
