"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
1,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.27276253711898,0,0,0,0,-1.32132612587884,0,0,0,0,0,0,0,0,-1.44485116563737,0,0,0,0,0
2,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.3525186321931,0,1.3364954207791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.71817585919052,0,0,0,0,0,0,0,0,0,0,-1.40427543548867,0,0,0,0,0,0,0,0
4,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.51474962464999,0,0,0,0,0,1.60056826297659,0,0,0,0,1.36792803998105,0,0,0,-1.35290837509092,0,0,0,0
5,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.36712481523864,0,1.42283252673224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6514953551814,0,0
6,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.65617086039856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.74491792614572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.61933733266778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.60324877488893,0,0,0
9,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.41096171690151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69711761502549,0,0,0,0
10,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.33130303747021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.68927246693056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.30959914147388,1.70765896106604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.35644335253164,0,0,0,0,0,0,0,0,0,0,1.53576835966669,0,0,0,0,0,0,0,0
14,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.45976756792516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53151221724693,0,0,0
15,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.47349411551841,0,0,1.29654567094985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.6650700038299,0,0,0,1.56277505052276,0,1.72980017971713,1.44699047342874,0,0,0,0,0,0,0,0,0,0,0,0
17,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.34965690399986,0,0,0,0,0,0,0,0,0,0,0,1.66611163236666,0,0,0,0,0,0,1.5252344913315
18,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.65526903164573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.46930893673562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.44048256042879,0,0,0,0,0,0,0,0,0,1.6389084282564,0,0,0,0,0,0,0,0,0
21,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.27467344200704,-1.42581159668043,0,0,0,0,0,1.65915382246021,0,0,0,0,0,0,0,0,0,0,0,0
