"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5"
1,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.41264809423592,0,0,0,0
2,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.6760797384195,0,0,0,0
3,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.54333709389903,0,0,0,0
4,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.74206303467508,-1.45380695245694,0,0,0
5,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.35503483202774,0,0,0,0
6,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.72565551416483,0,0,0,0
7,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.68290159711614,0,0,0,0
8,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.67533233505674,0,0,0,0
9,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.28657147067133,0,0,0,0
10,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.35123745293822,0,0,0,0
11,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.33928075153381,0,0,0,0
12,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.51220123958774,0,0,0,0
13,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.68960400880314,0,0,0,0
14,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.50918405735865,0,0,0,0
15,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.62755913287401,0,1.68804382754024,0,1.69470114738215
16,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.48124049825128,0,0,0,0
17,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.66066496516578,0,0,0,0
18,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.56862419878598,-1.70723073754925,0,1.55280556203797,0
19,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.3993338906439,0,0,0,0
20,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.38292036263738,0,0,0,0
21,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.28635725192726,1.43755665665958,0,0,0
22,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.28587024752051,0,1.6765509013785,0,0
23,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.38057836366352,0,-1.64300986984745,0,0
24,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.64934067067225,0,0,0,0
25,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.66270276845898,0,0,0,0
26,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.6635401379317,0,-1.33368289866485,0,0
27,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.65115117724054,0,0,0,0
28,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.62859485938679,0,0,0,0
29,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.45472276990768,0,0,0,0
30,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.34204863675404,0,-1.40587513893843,0,0
31,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.29799182841089,0,0,0,0
32,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.50168554659467,0,0,0,-1.74768622056581
33,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.68295631941874,0,0,0,0
34,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.31013090815395,0,0,-1.3411016149912,0
35,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.34530192951206,0,0,0,0
36,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.68909931764938,0,0,0,0
37,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.62054489506409,0,0,0,0
38,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.56641963333823,0,0,0,0
39,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.64220679365098,0,0,0,0
40,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.72159570711665,0,0,0,-1.47640409541782
41,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.31982721714303,0,0,0,0
42,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.45344050822314,0,0,0,0
43,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.37693125451915,0,0,0,0
44,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.40766646550037,0,0,0,0
45,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.28993192536291,0,0,0,0
46,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.64344079222064,0,0,0,0
47,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.44994879304431,0,0,0,0
48,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.67366485798266,0,0,0,0
49,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.71309926605318,0,0,0,0
50,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.40842547826469,1.53016619652044,0,0,0
51,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.51898034720216,0,0,0,0
52,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.3866342328256,0,0,0,1.35629934596363
53,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.5063454095507,0,0,0,0
54,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.28282553935423,0,0,0,0
55,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.7180258713197,0,0,0,0
56,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.70876466599293,0,0,0,1.2721257234225
57,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.30864370253403,0,0,0,0
58,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.5441859907005,0,0,0,0
59,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.44881793565582,0,0,0,0
60,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.35951221478172,0,0,0,0
61,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.43971080414485,0,0,0,0
62,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.27268937579356,0,0,0,0
63,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.30260670068674,0,0,0,0
64,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.62910782441031,0,0,0,0
65,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.27475333516486,0,0,0,0
66,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.28287232900038,0,0,0,-1.70939811796416
67,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.45305547467433,-1.48108329705428,0,0,0
68,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.4322289590491,-1.7498042024672,0,0,0
69,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.5832174026873,0,0,0,0
70,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.73357372905593,0,0,0,0
71,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.71527263324242,0,1.62545546668116,0,0
72,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.38006597594358,0,0,1.29525244550314,0
73,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.30918562388979,0,0,0,0
74,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.30459595855791,0,0,0,0
75,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.41413111484144,0,0,0,0
76,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.73153746861499,0,0,0,0
77,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.43884501885623,0,0,0,0
78,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.31982777290978,0,0,0,0
79,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.26966620294843,0,0,0,-1.26284444972407
80,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.44037025352009,0,0,0,0
81,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.59868814889342,0,0,0,0
82,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.41508990165312,0,0,0,0
83,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.58640526921954,0,0,1.62472132558469,0
84,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.62386826216243,0,0,0,0
85,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.25718623341527,0,-1.39954362576827,0,0
86,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.67180585290771,0,0,0,-1.35953201039229
87,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.44365222018678,0,0,0,0
88,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.71567050775047,0,0,0,0
89,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.71678548306227,0,0,0,0
90,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.56397857505362,0,-1.33264231251087,0,0
91,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.64103813807014,0,0,0,0
92,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.58260701748077,0,0,0,0
93,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.53309839754365,0,0,0,0
94,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.44245221908204,0,0,0,0
95,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.33409538725391,0,0,0,0
96,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.36878222110681,0,0,0,0
97,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.55748704820871,0,0,0,0
98,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.51212171069346,0,0,0,0
99,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.67556219408289,0,0,0,0
100,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.44117564510088,0,0,0,0
101,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.70640852523502,0,0,0,0
102,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.43276380177122,0,0,0,0
103,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.66010211221874,0,0,0,0
104,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.42822068824898,0,0,0,0
105,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.61779427132569,0,0,0,0
106,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.51876679749694,0,0,0,0
107,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.40666454180609,0,0,0,0
108,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.44052814692259,0,0,0,0
109,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.44490215543192,0,0,0,0
110,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.44302430935204,0,0,0,0
111,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.27517690858804,0,0,0,0
112,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.3846473004669,0,1.34506813203916,0,0
113,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.28841741546057,0,-1.30705925927032,0,0
114,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.57087866973598,0,0,0,0
115,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.65239232487511,0,0,0,0
116,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.7063190639019,0,-1.62417017435655,0,0
117,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.5358022385044,0,0,0,0
118,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.60326537757646,0,0,0,-1.56950334948488
119,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.45828369969968,0,0,0,1.44595908152405
120,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.70262153015938,-1.61806468386203,0,0,0
121,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.33884761435911,0,0,0,-1.58581791562028
122,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.54901078902185,0,0,0,0
123,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.44471496599726,0,0,0,0
124,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.50748474267311,0,0,0,0
125,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.65949139441364,0,0,0,0
126,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.5124169170158,0,0,0,0
127,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.72385197028052,-1.54946547769941,0,0,-1.56306315772235
128,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.262181018712,0,0,0,0
129,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.63571969280019,0,0,0,0
130,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.63876992161386,0,0,0,0
131,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.68609388964251,0,0,0,0
132,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.52640323049854,0,0,1.53731296351179,0
133,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.28325151733588,0,-1.45068507012911,0,0
134,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.31758388318121,0,-1.28983233915642,0,0
135,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.39088179543614,0,1.44664005434606,0,0
