"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
1,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.6581021893071,0,0,0,0,1.26057601824868,1.62442430108786,-1.25078201154247,0,0
2,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.5803906096844,0,0,0,0,0,0,0,0,0
3,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.73745347443037,0,1.27416862023529,0,0,1.65454612590838,0,0,0,0
4,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.28460693755187,0,0,-1.29707056912594,1.27432073745877,0,0,0,-1.54150591371581,-1.64106190600432
5,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.70491634996142,0,0,0,0,0,-1.28199532837607,0,-1.25038553751074,0
6,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.57052389055025,0,-1.49066698213574,0,0,0,0,1.55386429734062,0,1.60170636128169
7,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.64176237164065,0,0,0,0,0,0,0,0,0
8,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.32098556542769,0,0,0,-1.31817435845733,0,0,0,0,-1.2642689102795
9,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.28124905552249,0,0,0,0,0,0,0,0,0
10,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.37363901571371,0,0,0,1.48025776213035,0,0,0,0,0
11,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.29583163873758,0,0,0,0,0,0,0,0,0
12,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.31764627236407,0,0,0,0,0,-1.26744743483141,0,0,-1.5066186132608
13,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.69445852190256,0,0,0,0,0,0,1.40033507882617,0,-1.41321671928745
14,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.64935906592291,0,-1.72809954977129,0,0,0,0,0,-1.51301389047876,0
15,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.56144843366928,0,0,0,0,1.25802015571389,0,0,-1.65489213587716,0
16,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.56020460114814,0,0,0,0,0,0,1.66757296142168,0,0
17,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.62363331008237,-1.42060131544713,0,0,0,0,1.41283556038979,0,0,0
18,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.59761968930252,0,0,0,1.33558961830568,0,0,0,0,0
19,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.33882367401384,1.57527766854037,0,0,0,0,0,0,0,0
20,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",10,500,1.51181288796943,0,0,0,0,0,0,0,0,0
