"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","component_profile_hamming_accuracy","component_profile_exact_accuracy","mean_component_ari","min_component_ari","mean_true_component_probability","component_brier_score","component_log_loss","mean_component_entropy","seconds"
"Product MAP",5,"2-2-2-2-2",100,500,0.116090205878338,0.0851579669866824,0.217274063730995,0.328271017873335,0.122479746353814,0.0105724833830064,0.0493344472507812,1,1,1,1,0.999999999999998,2.3871391335346e-26,2.26940244375017e-15,8.98119182896459e-14,6.76968
"Gibbs",5,"2-2-2-2-2",100,500,0.119128534496065,0.0826138278111894,0.207187732352855,0.297865130068786,0.118910797405844,0.0993766829301251,0.0481998366257103,1,1,1,1,0.9998888,1.69344e-06,0.000111630245395605,0.00107699541744403,106.50892
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.129126897043403,0.112794212171302,0.213917528085321,0.348224186580663,0.100772143609831,0.00754472949084232,0.0417152301155113,0.99988,0.9988,0.999514937145956,0.995149371459562,0.999880000004145,0.000239999980673286,0.002441318932902,1.41900976267922e-10,9.13316
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.142307144418159,0.108555196874477,0.205452352655251,0.3034310607027,0.108334596242625,0.111247350322857,0.0410713180436619,1,1,1,1,0.99961948,1.64212e-05,0.000384878428101695,0.00333442491091565,141.3328
"Product MAP",5,"3-3-3-3-3",100,500,0.151052619219797,0.0927869149482257,0.207312606346395,0.296292436331845,0.115124018676089,0.0212966040048393,0.0495506913298805,0.9684,0.8524,0.904148106316576,0.821738524625783,0.967111510921547,0.0585761985451808,0.17495567746752,0.0131006329941253,5.4482
"Gibbs",5,"3-3-3-3-3",100,500,0.148651871994386,0.0888724079499815,0.211744717191346,0.266489592432673,0.406167055101891,0.394786734212324,0.119911538818427,0.792,0.3084,0.552144201498769,0.39234436477731,0.54983968,0.37249623056,0.632736606971923,0.785510756812135,106.45996
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.184045203205761,0.124094931156302,0.206045440531924,0.331086634718608,0.121897791125861,0.0267695609241696,0.056026508053964,0.9586,0.6608,0.874950438608756,0.760083959950545,0.958235184062625,0.0814569614303573,0.318841737906375,0.00435643485433391,7.14876
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.178706473705567,0.118498717101871,0.216351967460518,0.292625778439338,0.420960311412252,0.425090844131176,0.11529414018559,0.71284,0.0448,0.387707229246098,0.248408939888476,0.5287852,0.39080191584,0.665844718218907,0.82350704681994,143.83972
"Product MAP",5,"2-2-2-2-2",200,500,0.111377847665764,0.0621501970122778,0.150378253904747,0.214045257191414,0.0772639478790383,0.00937511096962664,0.0321892760644163,1,1,1,1,1,1.01741053774277e-31,3.25073301610248e-18,1.35998989805337e-16,12.30624
"Gibbs",5,"2-2-2-2-2",200,500,0.113716764606099,0.0612619801904545,0.160961169868938,0.212623252100954,0.0774142167476634,0.0549118048700785,0.0318302633523789,1,1,1,1,0.99998908,1.27096e-06,1.12645811537492e-05,7.89446930950037e-05,678.24672
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.125217607993043,0.0821988913521361,0.144510080048993,0.239910172043119,0.0731401460184082,0.0109586906224369,0.0306754317662988,1,1,1,1,1,8.33488263758214e-46,0,1.52204449113642e-23,15.938
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.130732159178973,0.0798083814118833,0.147165482512064,0.214101994026228,0.0768099534590228,0.0639799655051052,0.0303792203461488,1,1,1,1,0.99996766,1.34724e-06,3.26896660349201e-05,0.000276732368658254,628.48364
"Product MAP",5,"3-3-3-3-3",200,500,0.138369712124206,0.0682483112905822,0.139557973925322,0.184892682600651,0.0776281358149956,0.0205423729797664,0.033967048655538,0.97232,0.8698,0.914716191130773,0.850053526654182,0.972178247913301,0.0506780435988594,0.147750308273352,0.00923109870255872,9.68856
"Gibbs",5,"3-3-3-3-3",200,500,0.145368657388277,0.0668592985446094,0.144374821400501,0.183742467514021,0.271663772330594,0.194843363105483,0.0886429046825997,0.92576,0.6736,0.821418745357002,0.596898946271763,0.81065124,0.13990576792,0.250807437930602,0.362661727295766,317.36596
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.163770604368217,0.0920107953019115,0.131777300538107,0.199405685871016,0.0874729419522511,0.0278638785309152,0.0406396324406556,0.96224,0.6824,0.884697258378637,0.7982039583602,0.96226809889724,0.0743791212772204,0.290986338115807,0.00245820899105589,12.12136
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.164255909876527,0.0891976258970207,0.134745135305349,0.196010267909453,0.333357311056602,0.280203498448916,0.102387984059499,0.88032,0.2788,0.716266425514687,0.43519403887053,0.70737016,0.214845656,0.387156060393629,0.555943392129408,720.11944
"Product MAP",5,"2-2-2-2-2",400,500,0.106448346705834,0.0484130959854769,0.115089087401234,0.166147413544555,0.0559107144643829,0.00873713060771252,0.0233943736047716,1,1,1,1,0.999999999991542,5.84338549441797e-18,8.45817084573055e-12,1.9619638487546e-10,14.53924
"Gibbs",5,"2-2-2-2-2",400,500,0.124247029083405,0.0500210560490638,0.128567800009451,0.165616959579133,0.0731505186409406,0.0510129352495399,0.0279246380438016,0.99516,0.9758,0.986719755083114,0.96272036275724,0.99418542,0.00794612532,0.0527138775550854,0.00789337191635669,176.644
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.118510642996457,0.0634536914972334,0.100343619031357,0.163216141634975,0.0501698116018756,0.00827867814230406,0.0210707361035129,1,1,1,1,0.999999999999995,5.33035576960623e-25,4.83140527598463e-15,1.75844895987687e-13,17.32368
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.134230519346759,0.0663789447414482,0.113331501531796,0.161608506023212,0.0638847445602092,0.052476225544049,0.0238545273188406,0.99778,0.9778,0.993673546715694,0.964264597774959,0.99716509,0.00377917369999999,0.0199209521165493,0.00411304782405527,363.18712
"Product MAP",5,"3-3-3-3-3",400,500,0.12748644048483,0.0536318622315214,0.0978557269560557,0.127448220703959,0.0606980955437619,0.0206925577812869,0.0266162897914518,0.9761,0.8863,0.925653825759312,0.886685760479092,0.973856627416067,0.0418431049609866,0.102531115365707,0.0185429620375875,17.612
"Gibbs",5,"3-3-3-3-3",400,500,0.13116068344211,0.0547834902649772,0.102496360226187,0.12974475231356,0.109490474516779,0.0767049921400924,0.0369671118574175,0.97164,0.8671,0.912799842676051,0.866513773870392,0.9378987,0.0475870094,0.0916273807344512,0.126281683281888,183.33904
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.148579477004585,0.0724241587427949,0.0915793095101309,0.13899476851588,0.0627652524543111,0.0237356793787348,0.029486242175117,0.97085,0.7429,0.909638504354695,0.860560475207081,0.969843784176843,0.0545061998173439,0.143423860631213,0.0114198816753882,17.62116
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.151320275968322,0.0746728537825135,0.0973862062628123,0.141116177310769,0.10894755207704,0.0851119395915154,0.0382398310887316,0.96857,0.7278,0.902920068482761,0.855975734082651,0.92711048,0.05238274378,0.103671553222099,0.154747046197841,224.20592
"Product MAP",5,"2-2-2-2-2",100,1000,0.106347624226768,0.0844942238904374,0.212582826750161,0.315983041759652,0.111417489136295,0.0105353541985125,0.0477087075978761,1,1,1,1,0.999999999999799,7.21496799581433e-22,2.01126617763132e-13,6.23847114298497e-12,9.29496
"Gibbs",5,"2-2-2-2-2",100,1000,0.0960989053017889,0.0805862501564942,0.204669455235719,0.287944128729118,0.117272644038075,0.0876909804198721,0.0474544554777861,1,1,1,1,0.99995136,6.50240000000002e-07,4.88049647502232e-05,0.000482164784782018,162.12756
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.11982375882133,0.113388059556607,0.204246286659321,0.340240032214285,0.116097919842956,0.00979180248203224,0.0482787440786925,1,1,1,1,0.999999999999995,8.70494296450201e-25,5.37417665946284e-15,1.92498283450716e-13,11.05012
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.118561387531695,0.107238210206094,0.200254277258272,0.313952457003228,0.119242449525185,0.100404736165471,0.0475796150934289,1,1,1,1,0.99986548,3.29656000000001e-06,0.000135380025161087,0.00128079834258738,232.6634
"Product MAP",5,"3-3-3-3-3",100,1000,0.137056474240343,0.0896754244901233,0.205869817980055,0.300712284224242,0.113563821195121,0.0193501500447058,0.0502337938237628,0.97456,0.8788,0.92209899422401,0.836195359031224,0.97240554886539,0.0446292161888941,0.111236386213998,0.0183081587969367,6.68936
"Gibbs",5,"3-3-3-3-3",100,1000,0.121529492431806,0.0848953489867845,0.207548737258566,0.253363212804992,0.397373865611742,0.38335825285968,0.117438910072081,0.81728,0.3628,0.603591332089097,0.419821288718201,0.57464744,0.34046088016,0.588492417219023,0.761290342956796,162.04112
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.164308561487395,0.119537675882621,0.202353317652292,0.338030024020277,0.118296554695774,0.0215231519655641,0.0496995608281373,0.96644,0.7144,0.898583688970793,0.76196737065537,0.965314282044292,0.0616591053360575,0.168174167965147,0.01399818077364,8.47916
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.143415811448646,0.112865845251262,0.212999698693748,0.296686090870163,0.412324726800165,0.419363326963819,0.110419928721534,0.73456,0.0424,0.426013176426958,0.275912128850366,0.54015604,0.3743020536,0.645083289300434,0.814774497139533,235.17748
"Product MAP",5,"2-2-2-2-2",200,1000,0.0983502037006085,0.0602303692329447,0.156201288067295,0.235343642132406,0.0848941331282459,0.00955739127786943,0.0346930348094412,1,1,1,1,0.999999999999828,7.18236932988157e-22,1.72236336483922e-13,5.2621322918646e-12,15.12528
"Gibbs",5,"2-2-2-2-2",200,1000,0.0924410513294644,0.0585563687929349,0.165969636431606,0.238281716241093,0.0798290060509219,0.0491973456668854,0.0338374264153671,1,1,1,1,0.99999652,8.1680000000001e-08,3.50073794869287e-06,3.05954324084466e-05,377.11876
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.109878173436551,0.0807990193083014,0.138896867242153,0.228367784338268,0.081997271304851,0.00944603329804997,0.0339146324423947,1,1,1,1,1,3.19587010801861e-29,1.87250215333357e-17,7.74215889687061e-16,20.23724
