"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","component_profile_hamming_accuracy","component_profile_exact_accuracy","mean_component_ari","min_component_ari","mean_true_component_probability","component_brier_score","component_log_loss","mean_component_entropy","seconds"
"Product MAP",5,"2-2-2-2-2",100,500,0.136755410523044,0.0878018924817845,0.226073651975288,0.366268747474689,0.107036232671842,0.0237052793738628,0.0531449010147647,0.99952,0.9976,0.998079014543382,0.991995141676111,0.99951705084195,0.000959964579452666,0.00747436240940462,2.75748336916047e-05,8.188
"Gibbs",5,"2-2-2-2-2",100,500,0.126456326429652,0.08269029186533,0.204385566278598,0.299906687626849,0.104901298237732,0.076641205969426,0.0520909635150127,0.99952,0.9976,0.998078907934149,0.991994608629947,0.9976316,0.00100158288,0.0029145032700345,0.012392262265718,103.56236
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.164991476781246,0.119237215993581,0.230479404834303,0.391034614220577,0.0908283068090587,0.0326159214889308,0.044518716196271,0.99896,0.9896,0.995846084079379,0.964861285916435,0.99895990318666,0.00207997558347984,0.0209870768040213,1.39988204367408e-06,10.26616
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.15217551800283,0.110286564013185,0.204054935183332,0.301895086189971,0.092358039064547,0.0895618609106794,0.0434602066353955,0.99936,0.9936,0.997442954369878,0.976029543698775,0.99576284,0.00140986984,0.0048118731375684,0.0232924257630043,138.40992
"Product MAP",5,"3-3-3-3-3",100,500,0.163145788509665,0.0925207133594006,0.204818098969904,0.297238425579062,0.123551051524541,0.0532971824392988,0.0611879454960886,0.90272,0.6,0.728208335712273,0.640274365434975,0.895875364393567,0.170961806024712,0.430306361058592,0.0619351610397403,6.65796
"Gibbs",5,"3-3-3-3-3",100,500,0.147804194242048,0.087623351660824,0.218262264259508,0.267437961143747,0.240818056162071,0.28970267605616,0.0745086679344224,0.70616,0.182,0.432377780140752,0.354990264441028,0.55991136,0.38477204304,0.638779325782976,0.734813148718053,103.42088
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.208099366832812,0.125681194720029,0.21047707897193,0.347339414973228,0.135218968286928,0.0704671543752855,0.0737129627875143,0.88932,0.3152,0.698406997308088,0.559922180671039,0.888035840157144,0.209599198131885,0.725906194028771,0.0253808131827899,9.04748
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.178047021500372,0.117063539442451,0.225100110731336,0.308010331558447,0.247546909360651,0.311613297886513,0.0679463104472502,0.7012,0.0304,0.399668762252739,0.27573069318963,0.54794284,0.388212358,0.650129408097694,0.7660682604315,140.90704
"Product MAP",5,"2-2-2-2-2",200,500,0.128102673093054,0.0640494007118464,0.141343342096145,0.217266597431781,0.0676143188968862,0.0227583270601391,0.0338454742790008,0.99984,0.9992,0.999361596797801,0.996807983989004,0.999838176618421,0.000314001705115802,0.0011038946124511,4.0195520161854e-05,13.30844
"Gibbs",5,"2-2-2-2-2",200,500,0.123224430862597,0.0621928397284285,0.14709828167904,0.201225001924932,0.0666109153367549,0.0394014332003127,0.0334791338270119,0.99984,0.9992,0.999361596797801,0.996807983989004,0.99914368,0.000390640319999998,0.00106156551791569,0.00415451820350915,118.28192
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.152856315527701,0.0867388011130594,0.137705810276715,0.224171836462642,0.0659914329881094,0.0304974160973542,0.03230447507803,0.99924,0.9924,0.996960739476607,0.984007574805235,0.999239920194857,0.0015199891905075,0.0135957657102248,1.15937246325873e-06,15.29272
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.144912991131556,0.0827715892172507,0.142953857025151,0.19714640097946,0.0648879454761507,0.0477900162751474,0.0318676845560798,0.9993,0.993,0.997200745569752,0.985607578928906,0.99806948,0.00114117344,0.00251397523657858,0.00827759695744221,154.96684
"Product MAP",5,"3-3-3-3-3",200,500,0.153450481262491,0.068851251096507,0.138235485863328,0.186472178497674,0.0838040109689936,0.0500640850430954,0.0465470656711474,0.90796,0.6192,0.739913394430908,0.650734147904757,0.897050671123257,0.157051963670455,0.374717382945119,0.0795674551776999,10.67136
"Gibbs",5,"3-3-3-3-3",200,500,0.146250942963403,0.0666736582860762,0.140271366140792,0.182722628152938,0.232131407403663,0.241013752238433,0.0949710507819,0.70536,0.1718,0.437761394849654,0.367569952227873,0.60095412,0.36524878248,0.592237627168523,0.640288059687793,119.29928
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.182167434871332,0.0934686247633302,0.132250531868303,0.205508991447363,0.0926142585715648,0.0659949466530227,0.0543841094842585,0.89346,0.3226,0.703989471716219,0.618332003628575,0.890031039984135,0.198950622302111,0.616540723647459,0.0365012604715034,14.04372
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.167054885145017,0.0888159067044591,0.135785577234005,0.20204213524549,0.238246063103966,0.259756266546819,0.0925885015861071,0.6904,0.026,0.409786681959834,0.32841753781843,0.58785062,0.37410436168,0.610280642534015,0.667443956848993,154.60856
"Product MAP",5,"2-2-2-2-2",400,500,0.120788439639554,0.049729569541833,0.0986234933601387,0.148551649742135,0.0475199559039923,0.0128268839003961,0.0243516676826985,0.9997,0.9985,0.998801600640482,0.995208004125019,0.999682911084677,0.000591391718883973,0.00195043889651124,0.000145521751307434,14.69232
"Gibbs",5,"2-2-2-2-2",400,500,0.12096774610083,0.0512355878506122,0.105887307913991,0.147849570772274,0.0477940990359605,0.0223181333186581,0.0242810566908587,0.99968,0.9984,0.998720395701716,0.994801980703555,0.9992996,0.000484688080000001,0.00100902859927341,0.0026436576108605,154.6702
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.140476792154024,0.0670711763159337,0.0931491066894372,0.151840080367204,0.0484079729477623,0.0134273942718441,0.024664127469214,0.99935,0.9935,0.997401579141764,0.98881387738685,0.999349244807556,0.00129144435681608,0.00552482272589395,4.08691216764023e-05,14.68988
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.1411950999984,0.0698510463322476,0.103093725156165,0.150638306059592,0.0485811737135925,0.0266903001995541,0.0245524334135161,0.99941,0.9941,0.997642176192287,0.98921592039886,0.99880444,0.000888807399999996,0.00176895827969504,0.00437470965027011,196.42612
