"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","component_profile_hamming_accuracy","component_profile_exact_accuracy","mean_component_ari","min_component_ari","mean_true_component_probability","component_brier_score","component_log_loss","mean_component_entropy","seconds"
"Product MAP",5,"2-2-2-2-2",100,500,0.109201753671349,0.0842629445817549,0.224911969283606,0.353097342776179,0.106921251646291,0.0061046376270314,0.0529090369096982,1,1,1,1,0.999999999999999,2.49906587933162e-26,1.0347100953885e-15,3.91008969522146e-14,10.51896
"Gibbs",5,"2-2-2-2-2",100,500,0.116439249512795,0.079938368201784,0.209304294369789,0.30398717978532,0.108468694838844,0.0885408870903504,0.0520440233364347,1,1,1,1,0.99989184,1.48032e-06,0.000108534574469303,0.00104564656559267,222.02148
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.124930226281252,0.114606564706112,0.227861132509833,0.376620894181996,0.0899248956912157,0.0091073663882709,0.0445351828681216,1,1,1,1,1,4.09928505586175e-35,2.66453525910041e-20,1.25887966057637e-18,13.5722
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.141302878347536,0.107013828285849,0.209708958317848,0.30458088762528,0.0966622349601296,0.101101288787747,0.0437256791345964,1,1,1,1,0.99958,1.960304e-05,0.000425262941863395,0.00363043958338198,244.0266
"Product MAP",5,"3-3-3-3-3",100,500,0.136648521068562,0.0909763343332407,0.208427526094069,0.299044227143803,0.105388764211959,0.0163806487451035,0.0479502690611864,0.97192,0.8656,0.915593234913244,0.847416945469476,0.971441862656739,0.0527011652880358,0.158945779978976,0.00843835583561013,6.92852
"Gibbs",5,"3-3-3-3-3",100,500,0.139937167062007,0.0869651866280317,0.224657064708469,0.26916605713411,0.270313748578149,0.34479788517377,0.0714240189147563,0.75288,0.2384,0.509886033924162,0.411807080008011,0.5806364,0.347025012,0.590844852027616,0.727347758154413,150.30368
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.170590659191746,0.122916040163657,0.212701926173638,0.351586427085183,0.116606511787027,0.023269830049323,0.0567706269015899,0.96136,0.6764,0.884774661150544,0.781823506176951,0.961339763444275,0.0762538178519064,0.325386804976495,0.00229201176625348,10.53664
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.171662845419884,0.116602717795327,0.226368913718857,0.309146692212014,0.282914373045245,0.375470395721962,0.0678746573338466,0.73532,0.0532,0.45237682725707,0.340977842051789,0.56524796,0.35699936064,0.613289539495166,0.761098319030059,282.02484
"Product MAP",5,"2-2-2-2-2",200,500,0.105336892168007,0.060586806188003,0.142484118079959,0.216420127698218,0.0677923577953164,0.00814650106279874,0.0338542307218383,1,1,1,1,1,7.26377808281569e-34,1.82076576038526e-19,7.86352457919821e-18,26.27776
"Gibbs",5,"2-2-2-2-2",200,500,0.109464429414688,0.059234666203887,0.151249007476196,0.204446031894994,0.0697585388803411,0.0503762461338608,0.0336273962629127,1,1,1,1,0.99999508,5.20800000000001e-08,4.93313737226261e-06,4.93194932647483e-05,119.51516
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.121107730471216,0.0815978669690544,0.138573466466299,0.223764361474863,0.0652827417143494,0.0111809613105339,0.0323772582160074,1,1,1,1,1,9.62145531229775e-42,0,5.74357945590138e-22,30.02536
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.128977739312839,0.0787659935111742,0.147507766893054,0.200385644958519,0.0684891615343044,0.059182542033984,0.0320645280125536,1,1,1,1,0.99994834,9.41139999999997e-06,5.47118714190556e-05,0.000376483170505449,156.0842
"Product MAP",5,"3-3-3-3-3",200,500,0.132903169936444,0.0676381959508538,0.13719605605204,0.184848286564807,0.0688617716391336,0.0184373394754639,0.0334232085671491,0.9734,0.8734,0.919499163680106,0.857799679156781,0.973208232488526,0.0500863557240507,0.160075720480223,0.0066998017574755,16.43752
"Gibbs",5,"3-3-3-3-3",200,500,0.136095950449243,0.0660647707953666,0.140587092721374,0.180250722922306,0.208177478421834,0.223417426612619,0.0618001451989037,0.89996,0.58,0.774127330698926,0.528770308443001,0.75330412,0.17723553488,0.324027812722687,0.474033910854799,120.18184
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.15700588473607,0.0910375807996351,0.13201592791986,0.20418440975851,0.0779277889290355,0.0255499274638437,0.0390197587625864,0.96512,0.7014,0.895397890949369,0.820262599291846,0.965130556892018,0.0692787824073456,0.30760078413462,0.00114135187393169,20.56408
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.159921910403206,0.0881390929111553,0.135403700240628,0.199605788661199,0.251993857781893,0.294528643570222,0.0726614852028522,0.82256,0.1328,0.611438052093521,0.422572036473446,0.65613954,0.26730987772,0.466341527874044,0.620730722903563,155.54128
"Product MAP",5,"2-2-2-2-2",400,500,0.10267071902382,0.0466550427189184,0.101408907359646,0.153381139930919,0.0481039060306904,0.00868174820130983,0.0243328082498931,1,1,1,1,0.999999999995844,1.68525223807163e-18,4.15617014746814e-12,9.8784687706131e-11,22.31292
"Gibbs",5,"2-2-2-2-2",400,500,0.107152142422325,0.048365267259601,0.111054692860544,0.153468649203092,0.0497184254306343,0.0310878207187306,0.0242562354388587,1,1,1,1,0.99999902,1.10000000000001e-08,9.82766576696099e-07,9.32374659186225e-06,155.73384
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.115525416946322,0.0622430191582563,0.0963925095316963,0.157212541476178,0.0486637422600906,0.00924516624791649,0.0246290533818644,1,1,1,1,0.999999999999948,1.34693670648465e-22,5.1814528257231e-14,1.65634362691478e-12,24.78752
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.123195068457877,0.0654098236372265,0.108535526697645,0.155419775324747,0.050829583462857,0.0365874369884472,0.0245157826036742,1,1,1,1,0.99999193,3.63339999999994e-07,8.16424784098811e-06,6.46071288397561e-05,196.58868
"Product MAP",5,"3-3-3-3-3",400,500,0.121630916435996,0.0523400000804781,0.095663670178709,0.129451740279533,0.0563077798425253,0.0150084082671042,0.0266370232535517,0.97692,0.8907,0.929653861080474,0.891938290523889,0.974831705665932,0.0404759207603064,0.0964673108885869,0.0177590296679699,23.5362
"Gibbs",5,"3-3-3-3-3",400,500,0.12467621658297,0.0537295709662281,0.100712015464265,0.131823689532351,0.0742362337240568,0.0573505057637089,0.0284883794513758,0.97452,0.8797,0.922536377522911,0.885655590997479,0.94259918,0.0418444314,0.0819563971352157,0.121769028421071,155.64424
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.143575550324392,0.0709196020412105,0.0904155110226463,0.138681520455019,0.0571632019056822,0.0167884164299015,0.0290314482114683,0.97097,0.745,0.912102366925544,0.86608263742599,0.970298153390891,0.0547714436471284,0.144867358930797,0.00944149952144014,24.36824
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.14779492401497,0.0735618901686464,0.0971265148146989,0.140708865066423,0.0769001269354295,0.0727480036807061,0.0279965815299846,0.97065,0.7431,0.911156270366226,0.866782172803306,0.9235395,0.05032281376,0.103588026208076,0.169594987206674,196.75072
"Product MAP",5,"2-2-2-2-2",100,1000,0.0982673554373125,0.0827093823505497,0.217117379781447,0.336458959049323,0.099223068039683,0.00616253990483295,0.0494185485302355,1,1,1,1,1,2.03075843425745e-28,1.87538873319732e-16,7.75115795385626e-15,13.26952
"Gibbs",5,"2-2-2-2-2",100,1000,0.0943162121744612,0.0771923670289556,0.204244246823399,0.296965476021462,0.100649307344621,0.0811548902875655,0.0483185737303673,1,1,1,1,0.99996256,2.3008e-07,3.7497830722347e-05,0.000391260040805343,277.98672
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.113809646434429,0.113040792222253,0.223630067875486,0.360865908402697,0.0949739250551514,0.00784697714982568,0.0470283248107955,1,1,1,1,1,4.16467585462135e-35,3.55271367880053e-20,2.12204245247772e-18,15.25512
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.115750609186934,0.102992345899737,0.204697616898111,0.30743305958186,0.0985124449844664,0.0900728704500317,0.046308333735465,1,1,1,1,0.99986484,4.79016000000001e-06,0.00013644994692796,0.00125801032167502,408.92012
"Product MAP",5,"3-3-3-3-3",100,1000,0.121761085439029,0.0887081457528611,0.207021870361539,0.314416283175266,0.112867515413891,0.0145000600401914,0.0525190622918257,0.97696,0.8884,0.930561059933392,0.855997712862932,0.975782053647664,0.0404589171695959,0.106141893845317,0.0141602128878821,8.39724
"Gibbs",5,"3-3-3-3-3",100,1000,0.111719338691089,0.08364290613177,0.223218172582597,0.271302262964554,0.266433275551751,0.337371962742727,0.0724040088985065,0.77888,0.278,0.545417236435839,0.439153967231543,0.59006112,0.33362841136,0.572628202672178,0.718454973529376,278.50404
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.146753771929212,0.118197610374451,0.207799745927285,0.350667264350728,0.11089568007841,0.0178653884793447,0.0507569119550318,0.97112,0.7428,0.913273322190923,0.811660240372001,0.970639563462764,0.05397633736913,0.160211220511549,0.00884496039829309,11.61716
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.137376671417556,0.110749360155857,0.22228127232489,0.306316444578415,0.279499775545664,0.370267422428008,0.0680368352360505,0.7472,0.0524,0.469174132237811,0.335230740778504,0.57202164,0.34891996744,0.601099056216335,0.752525404083546,448.77028
"Product MAP",5,"2-2-2-2-2",200,1000,0.0893069828456348,0.0588476752397984,0.143269270326,0.218262101476941,0.0679770364636761,0.00657946126527774,0.0340416449790803,1,1,1,1,1,3.08935369852246e-29,3.55715457089978e-17,1.46927932073241e-15,47.6424
