"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"2-2-2-2-2",100,500,0.117533029242706,0.0840898054146546,0.212695855011617,0.325727522818916,0.124711010761266,0.00982086785571343,0.0513841132999287,7.63716
"Gibbs",5,"2-2-2-2-2",100,500,0.121587709070899,0.0816851848871914,0.207258151547178,0.296616023936013,0.122845637154256,0.0988947321729881,0.0502927970189009,103.37796
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.131034779491655,0.11226092626615,0.213029111115207,0.360967058118798,0.113142377278641,0.00720696247496916,0.0472668893867161,9.8756
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.144303367464374,0.108058282995235,0.203383507471615,0.314633106150799,0.116941828362336,0.111519846188617,0.0463298401017853,139.99012
"Product MAP",5,"3-3-3-3-3",100,500,0.155305106181115,0.0924222938840253,0.207073833755934,0.307963161491487,0.114058335931127,0.02095116615086,0.0514628263161093,5.71616
"Gibbs",5,"3-3-3-3-3",100,500,0.155384712425957,0.0884719615198668,0.211570382405475,0.264171369250543,0.408286550511633,0.392651784554369,0.121232877747687,103.82104
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.187840866601824,0.124766664458764,0.202215435726214,0.330863012273638,0.119964563044345,0.026354441631555,0.0521637707393876,7.4834
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.18376754978909,0.119360963030191,0.210934542265946,0.296484667156689,0.427237992348208,0.433057393314544,0.115274028347923,139.92216
"Product MAP",5,"2-2-2-2-2",200,500,0.111209526740463,0.0612944023118857,0.150283582853278,0.219681795250078,0.0731247038340745,0.00916026054379207,0.0307048953792533,13.197
"Gibbs",5,"2-2-2-2-2",200,500,0.114469030308977,0.0609536375925012,0.159596780486791,0.209731712417975,0.0863539742870995,0.0549797788108385,0.0359673210739224,137.0812
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.124790589573299,0.0815683891628122,0.141684017508235,0.235660310671875,0.0766321692974625,0.0107602841252305,0.0314353764961894,16.7812
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.129121692039733,0.079887090476993,0.147467589080316,0.221051018691404,0.0822224793701118,0.0626874059074105,0.0328341742303387,179.0014
"Product MAP",5,"3-3-3-3-3",200,500,0.140411149759743,0.0681065310232991,0.138984741632573,0.187892744346081,0.0847642973943298,0.0210443575590585,0.0381865690441081,10.61876
"Gibbs",5,"3-3-3-3-3",200,500,0.14581278944247,0.067503947930126,0.146023590317496,0.197826092035606,0.291217484328024,0.21125371040621,0.096407357772546,137.2928
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.166636031071536,0.0928153433009556,0.131240626478299,0.18902933728298,0.0789972451325228,0.0297584531364289,0.0376747630292083,12.90384
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.166449792353983,0.0893235377911987,0.134506641893304,0.189399249249844,0.340056479652664,0.284853480465283,0.106863175058089,181.4596
"Product MAP",5,"2-2-2-2-2",400,500,0.1068795910683,0.0477014593361401,0.112620703598558,0.16795321821735,0.0627847490233702,0.00913381893310619,0.0264661543203021,15.61092
"Gibbs",5,"2-2-2-2-2",400,500,0.111318120748467,0.0498642518993313,0.120799873571918,0.158971445968231,0.0437951806762817,0.034198690382087,0.0177031841869034,168.0878
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.1196132480986,0.0628004178196801,0.0992282143602256,0.169305739754884,0.0566056721653023,0.00872660568975542,0.0239692917639891,17.6912
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.124533406835015,0.0662253744321709,0.108969144364051,0.159941978245442,0.0568827540295963,0.0402753171836906,0.0221808313255161,574.6334
"Product MAP",5,"3-3-3-3-3",400,500,0.128621954861134,0.0535637586098157,0.0975763790821804,0.130165735802407,0.0590792772683042,0.0192867588950224,0.0265370426542204,18.89228
"Gibbs",5,"3-3-3-3-3",400,500,0.132085662785726,0.0547595286758976,0.100053648294257,0.135196484966611,0.129522478100868,0.0856343517767032,0.0431417402923524,168.9446
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.151651040386727,0.0728976031157971,0.0901258385058182,0.139480419445747,0.0614163950337559,0.0232659182710899,0.0272670937083907,19.6686
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.150307404514762,0.074281461881672,0.0979125826294659,0.141938657544679,0.107452174324564,0.084138584797274,0.0347223838304575,583.0298
"Product MAP",5,"2-2-2-2-2",100,1000,0.107351256218932,0.0834782934219486,0.210948407636751,0.316447485717682,0.112743332236828,0.0122226213445295,0.0457392474940244,9.51972
"Gibbs",5,"2-2-2-2-2",100,1000,0.0978095685553393,0.0800974636457266,0.20625680050686,0.294008537818673,0.109282046755694,0.090746628772018,0.0442397526043482,162.0896
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.119763830354711,0.11334383135577,0.2031752439744,0.333065025032577,0.106213417946467,0.0089900826649606,0.0449084093419851,12.62032
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.119692079278834,0.107019067295757,0.196179688957645,0.304589849111902,0.11333579516039,0.0995767141482005,0.0444471157929282,231.99976
"Product MAP",5,"3-3-3-3-3",100,1000,0.13728217734753,0.0892385250205614,0.204707391977205,0.288106513291349,0.115147402292578,0.0162901036204159,0.0493530857889256,7.47296
"Gibbs",5,"3-3-3-3-3",100,1000,0.125682918905831,0.0844315222316698,0.210017268104828,0.260992704709085,0.401346884956242,0.376065789152362,0.122453786563105,162.25188
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.1653727264125,0.119966138232377,0.200911582703473,0.347581818327603,0.115989443019174,0.0208923835826112,0.049505751769892,8.79864
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.145473207954862,0.113275825909775,0.209611771029197,0.293885915982944,0.416905519134114,0.425962706496064,0.1112752702835,231.31384
"Product MAP",5,"2-2-2-2-2",200,1000,0.098648461500689,0.0596822356089997,0.152085378064791,0.221009651332119,0.081665796143511,0.0092170963970073,0.0339715740344257,17.67868
