"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"2-2-2-2-2",100,500,0.136797615159759,0.086540058263756,0.221553713380778,0.35434329160768,0.0895983704594,0.0243479971193333,0.0447888118227587,8.46204
"Gibbs",5,"2-2-2-2-2",100,500,0.128017156021945,0.0816561074206404,0.201119326887567,0.288562175996666,0.0901804561314036,0.07610363723377,0.0437996499546232,103.17396
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.168168835589501,0.118728016734162,0.230901458134727,0.405899273323357,0.0963378241013488,0.0333357566220407,0.0472555937528905,10.49352
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.1556888481891,0.109978900326635,0.202827796332744,0.311304405950863,0.0962422070917922,0.0907462538847237,0.0459151530183942,139.60032
"Product MAP",5,"3-3-3-3-3",100,500,0.168001991995331,0.0923329132654288,0.207267342296951,0.315672261730801,0.128542408498061,0.0523317948248293,0.0651055620945143,6.42372
"Gibbs",5,"3-3-3-3-3",100,500,0.153071283831168,0.0872125583133651,0.223005831939758,0.2744692681075,0.241933679598028,0.293868871759592,0.073388290069656,103.52132
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.211554991786405,0.126534898516921,0.209666739086519,0.332616445715389,0.134344563899155,0.0710004795352902,0.0718209740853861,9.318
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.180899812626117,0.117498007072786,0.225780882792632,0.29197379131986,0.247061709449209,0.311645139147249,0.0666501759849263,139.22304
"Product MAP",5,"2-2-2-2-2",200,500,0.128921964747925,0.0633311450894546,0.140070813134653,0.211280900697324,0.0654606650231167,0.022967483335288,0.0327841978520006,12.94332
"Gibbs",5,"2-2-2-2-2",200,500,0.123255209432103,0.0625548997036799,0.147522619477431,0.212870467230483,0.0741325373609796,0.0404647302819168,0.0376400295744391,126.792
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.154128223745448,0.0860322889229888,0.136522024030783,0.23625039865473,0.0714798056061044,0.0317444779008129,0.0349602738101259,15.42044
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.143945063925607,0.0827652618426963,0.144850391492622,0.20650923094946,0.0729368653701849,0.0471552238490853,0.0366545702628993,163.4778
"Product MAP",5,"3-3-3-3-3",200,500,0.154136255988134,0.068563334598156,0.13692029709391,0.191311301470632,0.0868464482393846,0.0496176176237333,0.0462608558483771,10.73224
