"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"2-2-2-2-2",100,500,0.109789564029067,0.0829998308291547,0.219332362598784,0.336575669405595,0.0894456012343863,0.0065149959257323,0.0446686550642258,14.4066
"Gibbs",5,"2-2-2-2-2",100,500,0.118261587414975,0.078907455858042,0.206143121852317,0.288084626689056,0.0940437966633783,0.0886295363487635,0.0437586082962261,107.70928
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.127158065855893,0.113902010768874,0.22691704894209,0.381518911841164,0.0952941416661993,0.0093215736639041,0.0472083222268316,17.41076
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.14394714585399,0.106482476364895,0.209460511433411,0.312530509941987,0.100689498985212,0.10201445238015,0.0463755790451025,145.46624
"Product MAP",5,"3-3-3-3-3",100,500,0.140792976077544,0.091218443701631,0.209694317730073,0.316997118212458,0.118503134062846,0.0162942781656319,0.0540990564984554,8.329
"Gibbs",5,"3-3-3-3-3",100,500,0.143088889866776,0.0869642681682835,0.227417941791907,0.277857899782741,0.275521834861896,0.354646170967631,0.0725199261484929,108.36496
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.175265459636056,0.124191972015788,0.212703766625753,0.333126161139399,0.108336539644258,0.0239569877193528,0.0505898308820625,12.973
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.176017629521228,0.117377175364541,0.225296198190697,0.292162803881658,0.284916417383227,0.379652509231126,0.0667710140331451,145.66072
"Product MAP",5,"2-2-2-2-2",200,500,0.105789518221224,0.0597774125141128,0.140778257286063,0.211934808659405,0.065674095132068,0.00818925412144299,0.0328691619010065,14.80776
"Gibbs",5,"2-2-2-2-2",200,500,0.109701619503847,0.0586146934130249,0.148864099536067,0.202200726299604,0.0678756296190515,0.0501535525063524,0.0325587550962332,124.29832
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.121362497947673,0.080640196217044,0.134230704702736,0.223455643869442,0.0702239458032916,0.0114462712581165,0.0348346336120421,18.74336
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.130001253573985,0.0779816521247594,0.142742289736128,0.206159128594692,0.0723916778351052,0.0591147322449572,0.0344344458075549,161.78808
"Product MAP",5,"3-3-3-3-3",200,500,0.130346975233116,0.0673555608611615,0.135553299113099,0.190279042736947,0.0724866135961764,0.0178932990801983,0.0358629583805611,11.1974
"Gibbs",5,"3-3-3-3-3",200,500,0.136921869072628,0.066014703504109,0.140032979202107,0.193681955207386,0.205635460643655,0.223269213074435,0.0617355632820593,124.25364
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.159672652636089,0.0918011725099583,0.131175117229583,0.202897574364278,0.0748944136880897,0.0265331848041207,0.0377656770723467,14.10868
