"mixture_setting","source_run","source_scope","method","n","p","H_true","G_config","completed_reps","expected_reps","complete"
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",100,500,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","viroli_laplace_gibbs",100,500,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",200,500,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","viroli_laplace_gibbs",200,500,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",400,500,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","viroli_laplace_gibbs",400,500,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",100,1000,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","viroli_laplace_gibbs",100,1000,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",200,1000,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","viroli_laplace_gibbs",200,1000,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",400,1000,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","viroli_laplace_gibbs",400,1000,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",100,1500,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",200,1500,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",400,1500,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",100,2000,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",200,2000,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",400,2000,5,"2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","independent_marginal_mixture",100,500,10,"2-2-2-2-2-2-2-2-2-2",25,25,TRUE
"separated","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_npenalty3_5_h5_h10_final_combined","full_25_rep_study","viroli_laplace_gibbs",100,500,10,"2-2-2-2-2-2-2-2-2-2",25,25,TRUE
