"block_size_mode","loading_design","method","H_true","G_true","n","p","n_reps","mean_seconds","median_seconds","mean_log_seconds","sd_log_seconds","lower_log_seconds","upper_log_seconds","geometric_mean_seconds"
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,100,500,25,8.7281600000005,8.63900000000285,2.16519930727424,0.0529446892831348,2.05930992870797,2.27108868584051,8.71633897350362
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,100,500,25,10.4035599999988,10.3849999999948,2.34210472345731,0.00949742556021603,2.32310987233688,2.36109957457774,10.4031092046982
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,500,500,25,29.1418000000002,29.2380000000048,3.37143954122248,0.0390461553857993,3.29334723045088,3.44953185199408,29.120416940058
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,500,500,25,42.3837600000011,42.375,3.74671621383766,0.0101051639363388,3.72650588596498,3.76692654171034,42.3816808664066
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,1000,500,25,53.1528800000023,53.3500000000058,3.97214910090101,0.046262879769971,3.87962334136107,4.06467486044096,53.0985223884398
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,1000,500,25,84.253840000002,84.2780000000057,4.43368636879683,0.0175554571069611,4.39857545458291,4.46879728301075,84.241390053275
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,2000,500,25,134.175159999999,147.464999999997,4.87720242801413,0.217234372487137,4.44273368303986,5.31167117298841,131.262932245764
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,2000,500,25,361.019280000001,250.879000000001,5.54856195879908,0.647237237568009,4.25408748366306,6.8430364339351,256.867903553317
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,100,500,25,7.20619999999908,7.16900000000169,1.97429346527116,0.036775576281561,1.90074231270804,2.04784461783428,7.20152972507497
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,100,500,25,11.7418799999997,11.7130000000034,2.463117104106,0.00965886577067533,2.44379937256465,2.48243483564735,11.7413535791744
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,500,500,25,35.0150800000006,34.8440000000046,3.55505497695179,0.0388059946147123,3.47744298772237,3.63266696618122,34.989743544261
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,500,500,25,44.4939999999999,44.5909999999931,3.79530874596896,0.0097510458355027,3.77580665429795,3.81481083763996,44.4919710018669
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,1000,500,25,66.9858399999986,67.1800000000076,4.20395434662847,0.0331294811407047,4.13769538434707,4.27021330890988,66.950553979484
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,1000,500,25,87.1007599999994,86.9300000000076,4.46686571978771,0.0203713261170436,4.42612306755362,4.5076083720218,87.0833512008147
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,2000,500,25,129.863000000001,128.868000000002,4.86562309054451,0.0423603059881827,4.78090247856815,4.95034370252088,129.751760524626
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,2000,500,25,172.212719999999,173.168000000005,5.14866560673538,0.0116520426603395,5.1253615214147,5.17196969205606,172.201552345527
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,100,500,25,9.71268000000011,9.63999999999942,2.27280418254902,0.0361212104700865,2.20056176160885,2.3450466034892,9.7065817132109
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,100,500,25,11.4031200000003,11.4130000000005,2.43385459350877,0.00821495738267466,2.41742467874342,2.45028450827412,11.4027504461778
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,500,500,25,34.9514400000003,34.9130000000005,3.55337401740378,0.0349425029946494,3.48348901141448,3.62325902339308,34.9309766070277
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,500,500,25,44.4086799999996,44.4519999999975,3.79337989376387,0.0107097526452107,3.77196038847345,3.81479939905429,44.4062352778427
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,1000,500,25,66.0204800000001,66.156999999992,4.18959306956851,0.0278512627541237,4.13389054406026,4.24529559507675,65.99592974329
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,1000,500,25,87.3645599999995,87.2989999999991,4.46993114255551,0.0181434633862715,4.43364421578296,4.50621806932805,87.3507080598245
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,2000,500,25,165.410040000002,129.90800000001,4.9466500023915,0.415085800280923,4.11647840182966,5.77682160295335,140.702819413
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,2000,500,25,178.35892,175.286999999997,5.17891371925071,0.0941216338066166,4.99067045163748,5.36715698686394,177.489902371733
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,100,500,25,8.8133600000001,8.7699999999968,2.17582729701619,0.0303306850094924,2.11516592699721,2.23648866703518,8.80947015670333
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,100,500,25,16.1924400000003,16.1520000000019,2.78450736905846,0.00878727619353274,2.7669328166714,2.80208192144553,16.1918393106349
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,500,500,25,42.2297600000002,42.2569999999978,3.74253429757774,0.035009769336729,3.67251475890428,3.8125538362512,42.2048143044041
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,500,500,25,51.60492,51.6710000000021,3.9435741273222,0.00945835258420511,3.92465742215379,3.96249083249061,51.60270674046
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,1000,500,25,80.5638000000006,80.7659999999887,4.38861860752954,0.0299736947400949,4.32867121804935,4.44856599700973,80.5290998183109
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,1000,500,25,97.26244,97.4220000000059,4.57730629300499,0.0149045835807173,4.54749712584356,4.60711546016643,97.2520724688334
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,2000,500,25,156.928959999999,156.678999999989,5.05548227329709,0.0255022133174459,5.00447784666219,5.10648669993198,156.880171220337
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,2000,500,25,187.48396,187.798999999999,5.23365867533119,0.00849739108508418,5.21666389316102,5.25065345750136,187.477469463912
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,100,500,25,13.88156,13.686,2.62927729231041,0.0513072619599118,2.52666276839059,2.73189181623023,13.8637468442448
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,100,500,25,15.81312,15.745,2.76075794469426,0.0130528234427389,2.73465229780878,2.78686359157974,15.8118228948882
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,500,500,25,26.65984,26.5,3.28278913984752,0.0277024293772995,3.22738428109292,3.33819399860212,26.6499997131306
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,500,500,25,41.8342,41.8599999999997,3.73370519067073,0.004329989328898,3.72504521201293,3.74236516932853,41.8338236549597
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,1000,500,25,50.0064,49.6010000000006,3.91141295222026,0.0391862339662825,3.83304048428769,3.98978542015282,49.9695066418367
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,1000,500,25,83.1370000000002,83.1620000000003,4.420405184859,0.0132763332122142,4.39385251843457,4.44695785128343,83.1299615370884
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,2000,500,25,97.9512399999998,98.5470000000023,4.58391297383638,0.0342941611838415,4.5153246514687,4.65250129620407,97.896712994144
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,2000,500,25,165.6928,166.127999999997,5.11007921773922,0.0108462695220243,5.08838667869518,5.13177175678327,165.683479424541
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,100,500,25,7.49131999999998,7.44200000000001,2.01293798029902,0.0410181765541796,1.93090162719066,2.09497433340738,7.48527666888245
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,100,500,25,11.84556,11.8690000000001,2.47189844580875,0.0106538555646461,2.45059073467946,2.49320615693804,11.8449124444289
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,500,500,25,32.06692,32.027,3.46724276416547,0.0348630311202457,3.39751670192498,3.53696882640597,32.0482559120578
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,500,500,25,43.94988,43.9570000000003,3.78304208151161,0.00403412445166925,3.77497383260827,3.79111033041495,43.9495366543122
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,1000,500,25,60.6182399999999,60.3230000000003,4.10396002400491,0.0363596315167593,4.03124076097139,4.17667928703843,60.5797103317172
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,1000,500,25,86.7603599999998,86.5190000000002,4.46306204837167,0.0135161105215979,4.43602982732848,4.49009426941487,86.7527439063973
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,2000,500,25,116.35216,115.504000000001,4.75585758697478,0.0397869050227355,4.67628377692931,4.83543139702025,116.263316329103
