"scenario","rep","np_regime","n","p","H_true","G_true","K_joint","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","mixture_update","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","method","mean_factor_abs_cor","min_factor_abs_cor","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","pretraining_converged","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","occupied_classes","posterior_kept_draws","mfa_seconds_per_iter","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range"
"rep1_balanced_moderate_few_positive_cross_n100_p500_H3_G2_sep1",1,"n100p500",100,500,3,2,8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.986582770401188,0.985091581201857,0.85402890519521,0.306609810296442,0.878234741141871,0.603342569331645,NA,NA,0.0877411267210577,0.892908658284621,15.024,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.138320525308533,0.0595605197880047,0.997857131581763,0.921296936165736,NA,0.0301553394466643,0.203344755778278,0.0543295794666496,8,8,0.862940497050694,"alpha+loading+joint_mu+joint_var+joint_weight",0.858135241226701,0.870001861251197,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_few_positive_cross_n100_p500_H3_G2_sep1",1,"n100p500",100,500,3,2,8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.548863263780011,0.405732986854952,0.844880767644198,0.848315476252983,0.96253632037614,0.381800320603655,0.962565809177882,0.381185499965954,0.0936082766361249,-0.00113071858242833,16.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92212400384012,1.10425097004707,0.505209547141834,0.256470636202587,NA,0.30985536296096,1.63902658600172,0.819513293000859,8,2,0.832247775450842,"alpha+loading+joint_mu+joint_var+joint_weight",0.836841207498782,0.771230434435947,"alpha+loading+joint_mu+joint_log_var",3,1000,0.0081355,FALSE,2000,1.24092454552828,1.0708313618296,1
"rep2_balanced_moderate_few_positive_cross_n100_p500_H3_G2_sep1",2,"n100p500",100,500,3,2,8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.985934548078719,0.977224226386798,0.904289726910569,0.244316162276775,0.946240694533039,0.304440058308984,NA,NA,0.0879728595645561,0.851676727179566,13.728,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0939202527200932,0.0564595425115645,0.995071620725125,0.985651523261871,NA,0.0222462572850554,0.146661371660683,0.0374797889827241,8,8,0.924292339622352,"alpha+loading+joint_mu+joint_var+joint_weight",0.914088663145331,0.924931284459922,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep2_balanced_moderate_few_positive_cross_n100_p500_H3_G2_sep1",2,"n100p500",100,500,3,2,8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.45135137111363,0.297460232910416,0.666615985190363,0.978109413765172,0.969158744668972,0.243832950643701,0.969157174212878,0.243650855079377,0.0929307730732494,0.00306820641688077,15.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08464464973111,1.22344349138394,0.417752444862218,0.332204233699294,NA,0.323538835083829,1.71196635510602,0.855983177553009,8,1,0.689701564446398,"alpha+loading+joint_mu+joint_var+joint_weight",0.673878896104458,0.636804939891912,"alpha+loading+joint_mu+joint_log_var",2,1000,0.007971,FALSE,2000,1.60987327729726,0.959194384363926,1
"rep3_balanced_moderate_few_positive_cross_n100_p500_H3_G2_sep1",3,"n100p500",100,500,3,2,8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.985955512053268,0.983997767777452,0.907659158813756,0.272112819001131,0.94480732235889,0.457207713166292,NA,NA,0.0853498146722806,0.776413890857548,14.219,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.13215707206031,0.0621046482368942,0.994680192031204,0.946857356931981,NA,0.0303586909600871,0.217869044158831,0.0477908358518659,8,8,0.925778627902818,"alpha+loading+joint_mu+joint_var+joint_weight",0.915784575351048,0.923164348046775,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep3_balanced_moderate_few_positive_cross_n100_p500_H3_G2_sep1",3,"n100p500",100,500,3,2,8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.561292726625934,0.434150100096152,0.777762770135441,0.85310924531616,0.961529461684712,0.456932246818742,0.961576508826778,0.456186265006932,0.0881705802027216,0.1024,15.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69423841195381,1.03057287014769,0.380529453462386,0.347743707995155,NA,0.212322637300892,1.46722256044341,0.396676657522933,8,3,0.793285555063373,"alpha+loading+joint_mu+joint_var+joint_weight",0.782489457122984,0.74861623535733,"alpha+loading+joint_mu+joint_log_var",3,1000,0.007893,FALSE,2000,1.31254109221033,0.685145769773151,1
"rep4_balanced_moderate_few_positive_cross_n100_p500_H3_G2_sep1",4,"n100p500",100,500,3,2,8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.989604696166931,0.986956089417727,0.905581572373227,0.278382912520584,0.944329403832388,0.361695525033982,NA,NA,0.085696359377955,0.794830885233615,13.519,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0996193225088603,0.0642406865410708,0.997190116791917,0.920364695651993,NA,0.0228257031296654,0.143606816222154,0.0367581722959711,8,8,0.925005730519392,"alpha+loading+joint_mu+joint_var+joint_weight",0.914143781462723,0.923689820675008,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep4_balanced_moderate_few_positive_cross_n100_p500_H3_G2_sep1",4,"n100p500",100,500,3,2,8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.533026005197006,0.458317535833694,0.79456047561803,0.860508076019907,0.961965197080361,0.283247405026115,0.962138328102234,0.282653181708918,0.0913667830002438,-0.000449324608947193,15.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08758812268731,1.1726610329198,0.405571268818169,0.308080706387979,NA,0.323648055601779,1.71253965592236,0.856269827961179,8,1,0.777664179506617,"alpha+loading+joint_mu+joint_var+joint_weight",0.782645889526782,0.722240261228971,"alpha+loading+joint_mu+joint_log_var",2,1000,0.007927,FALSE,2000,1.76487958805132,0.867036075785419,1
"rep5_balanced_moderate_few_positive_cross_n100_p500_H3_G2_sep1",5,"n100p500",100,500,3,2,8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.986831909426057,0.982091041381531,0.908578370719235,0.259874185928681,0.952647626444423,0.369627226408964,NA,NA,0.0855722738545827,0.766387053814333,14.631,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.300752239789296,0.046166254492458,0.996329617640051,0.982341938487714,NA,0.0679839020032774,0.445095270290913,0.144009373072945,8,8,0.923922614014114,"alpha+loading+joint_mu+joint_var+joint_weight",0.919366454282524,0.922639160846515,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep5_balanced_moderate_few_positive_cross_n100_p500_H3_G2_sep1",5,"n100p500",100,500,3,2,8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.635719068897301,0.416944087728375,0.8276679137994,0.810999274272741,0.946591961519717,0.390732866408775,0.946747072522114,0.389920127891419,0.0861275827787054,0.145378998148368,15.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29863461894636,0.894097572988925,0.434642127708893,0.385833081674125,NA,0.219974185294759,1.44446247948812,0.5011778090925,8,3,0.819363209842693,"alpha+loading+joint_mu+joint_var+joint_weight",0.822828550671027,0.770995524789137,"alpha+loading+joint_mu+joint_log_var",3,1000,0.0079585,FALSE,2000,1.32962000798547,0.921379798429629,0
