"item","block","loading_design","block_size_mode","H","F1","F2","F3","F4"
1,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.827405638061464,0,0,0
2,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.21219765767455,0.203211730159819,0,0
3,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.906134329736233,0,0,0
4,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.21379950537812,0,0,0
5,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.796295143081807,0,0,0
6,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.03885971428826,0,0,0.428818584885448
7,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.03934822615702,0,0,0.207323431689292
8,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.979016788187437,0,0,0
9,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.11703406064771,0,0,0
10,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.821832660818473,-0.353535205963999,0,0
11,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.20245110441465,-0.314321430772543,0,0
12,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.870205105748028,0,0.314637876395136,0
13,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.806199085898697,0,0,0
14,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.09579127596226,0,0,0
15,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.19478425185662,0,0,0
16,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.14817419450264,0.519591293018311,-0.38549832617864,0
17,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.790966452797875,0,-0.419251204282045,0
18,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.20166189305019,-0.403941036760807,-0.471959068719298,0
19,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.12728829518892,0,-0.453271158784628,0
20,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.767312702839263,0,-0.279526761267334,0
21,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.91513173643034,0,0,0
22,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.18975691706873,0,0.339284766465425,0
