"item","block","loading_design","block_size_mode","H","F1","F2","F3"
1,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.78924751712475,0,0
2,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.13506939902436,0,0
3,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.18970358592924,0,0
4,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23954474239144,0,0
5,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.899939791881479,0.167236477434635,0.211123744547367
6,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.771932810894214,0,0
7,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.04000160843134,0,0
8,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.903287069639191,0,0
9,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.05910853471141,0,0
10,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.11461941944435,0,0
11,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.923087554750964,0,0
12,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.04918051185086,0,0
13,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.938107973779552,0,0
14,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.857519994489849,0,0
15,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.17773167917039,0,0
16,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.826275200466625,0,0
17,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.06695783208124,0,0
18,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23060176952276,0,0
19,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.211270102649,0,0
20,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.22112191480119,0,0
21,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.85611377726309,0,0
22,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.898768751183525,0,0
23,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.950063682626933,0,0
24,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.1658350317739,0,0
25,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.12948352552485,0,0
26,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.866641495726071,0,0
27,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.14424438402057,0.127737671323121,0
28,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.905619637807831,0,0
29,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.12006800982635,0,0
30,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.00027391780168,0,0
31,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.1503051770851,0,0
32,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.768797577125952,0,0
33,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.987460865173489,0,0
34,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.899580347002484,0,0
35,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.03533442073967,0,0
36,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.22494281048421,0,0.178261182717979
37,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.00076552457176,0,0
38,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.994316487689503,0,0
39,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.07604099356104,0,0
40,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23227763210889,0,0
41,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.13979880488478,0,0
42,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.08559635211714,0,0
43,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.14455798862036,0,0
44,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.800303581752814,0,0
45,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.856986139086075,0,0
46,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.973930437467061,0,0
47,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.19562636874616,0.194031623192132,0
48,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.962150020874105,0,0
49,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.803057568729855,0,0
50,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.896339674014598,0,0
51,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.787626679637469,0,0
52,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.831818968523294,0,0
53,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.13335661147721,0,0
54,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23357734049205,0,0
55,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.0466825182084,0,0
56,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.11851570103317,0,0
57,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.18000280950218,0,0
58,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.923466423526406,0,0
59,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.930350546725094,0,0
60,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.840730216237716,0,0
61,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.036313710385,0,0
62,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.799366790917702,0,0
63,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.17869875207543,0,0
64,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.806491585914046,0,0
