"block_size_mode","loading_design","method","H_true","G_true","n","p","n_reps","mean_alpha_rmse","sd_alpha_rmse","lower_alpha_rmse","upper_alpha_rmse","mean_lambda_rmse","sd_lambda_rmse","lower_lambda_rmse","upper_lambda_rmse","mean_joint_mu_rmse","sd_joint_mu_rmse","lower_joint_mu_rmse","upper_joint_mu_rmse","mean_joint_var_rmse","sd_joint_var_rmse","lower_joint_var_rmse","upper_joint_var_rmse","mean_joint_weight_rmse","sd_joint_weight_rmse","lower_joint_weight_rmse","upper_joint_weight_rmse","mean_factor_score_rmse","sd_factor_score_rmse","lower_factor_score_rmse","upper_factor_score_rmse"
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",100,250,25,0.417312815377912,0.103223165608098,0.210866484161716,0.623759146594107,0.301418175057657,0.0517827785335028,0.197852617990651,0.404983732124662,0.09020365980697,0.0367295240245941,0.0167446117577819,0.163662707856158,0.0740992842347461,0.0159297156902626,0.0422398528542208,0.105958715615271,0.0202285268728329,0.00885638392771029,0.00251575901741235,0.0379412947282535,0.201556584542627,0.0185914825179175,0.164373619506792,0.238739549578462
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",100,500,25,0.37800370313694,0.0754461337095763,0.227111435717788,0.528895970556093,0.272317334358127,0.0293249360856604,0.213667462186807,0.330967206529448,0.108680308357572,0.0611293490055235,-0.0135783896534751,0.230939006368619,0.064824019525839,0.0120061879460514,0.0408116436337363,0.0888363954179418,0.024312565526947,0.0137267577130816,-0.0031409498992161,0.0517660809531101,0.155543829055412,0.0128207651662257,0.129902298722961,0.181185359387863
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",100,1000,25,0.359498284870306,0.0651274746555725,0.229243335559161,0.489753234181451,0.269978053304302,0.0292391380290742,0.211499777246154,0.328456329362451,0.099878187751601,0.0383295345347291,0.0232191186821429,0.176537256821059,0.0702598824552491,0.0173491371090042,0.0355616082372407,0.104958156673257,0.0232860310374156,0.00876651783871273,0.00575299535999013,0.0408190667148411,0.129187107392206,0.0170711466569252,0.0950448140783557,0.163329400706057
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",100,2000,25,0.354878739833869,0.0637110107716219,0.227456718290625,0.482300761377113,0.265651380702737,0.0238228141958269,0.218005752311084,0.313297009094391,0.0909393862641047,0.0288769656307711,0.0331854550025626,0.148693317525647,0.0678530313674838,0.0177297983973633,0.0323934345727571,0.10331262816221,0.0212684194743492,0.00699272472973801,0.00728297001487322,0.0352538689338253,0.114842078511113,0.0170777403377415,0.0806865978356305,0.148997559186596
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",100,250,25,0.369601156225256,0.0628682661343421,0.243864623956572,0.49533768849394,0.904507601794711,0.0783646939751467,0.747778213844418,1.061236989745,1.72084024147175,0.616172883491083,0.488494474489579,2.95318600845391,0.951570519171599,0.163041037542119,0.625488444087362,1.27765259425584,0.261826022599118,0.0524360638843636,0.156953894830391,0.366698150367846,0.946834902770171,0.0760559808753501,0.794722941019471,1.09894686452087
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",100,500,25,0.366698233020178,0.0725919489544237,0.221514335111331,0.511882130929026,0.92467772708515,0.0886615265011828,0.747354674082784,1.10200078008752,2.0307939821999,0.6096509603931,0.811492061413704,3.2500959029861,1.02423603949677,0.149556303911392,0.725123431673991,1.32334864731956,0.262233207243382,0.0465975841862079,0.169038038870966,0.355428375615797,0.966841945021715,0.0608255029134624,0.84519093919479,1.08849295084864
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",500,250,25,0.114546987616057,0.0133793508855885,0.0877882858448798,0.141305689387234,0.0945386892913529,0.00524916721872482,0.0840403548539033,0.105037023728803,0.0582547922621915,0.0177047874333436,0.0228452173955044,0.0936643671288786,0.0599930032263537,0.0155813605491723,0.028830282128009,0.0911557243246983,0.011416968488265,0.00427558199289965,0.00286580450246572,0.0199681324740643,0.176234350011163,0.0041432585198893,0.167947832971385,0.184520867050942
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",500,500,25,0.108498110932651,0.0102538898229472,0.0879903312867565,0.129005890578545,0.0903674190632925,0.00329013845937898,0.0837871421445345,0.0969476959820505,0.0455925021737494,0.0170532126499693,0.0114860768738108,0.0796989274736879,0.0324029782301663,0.0099179185395987,0.0125671411509689,0.0522388153093637,0.00994732480672541,0.00422427051237412,0.00149878378197717,0.0183958658314737,0.13206870293954,0.00343009300534852,0.125208516928843,0.138928888950237
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",500,1000,25,0.110954050700184,0.0117775335940881,0.0873989835120077,0.13450911788836,0.0905245150036942,0.002853136840269,0.0848182413231562,0.0962307886842322,0.040878630512551,0.014615203627097,0.0116482232583569,0.070109037766745,0.0276574237133024,0.00964305688296082,0.00837130994738078,0.0469435374792241,0.0091741948604746,0.00348048786606539,0.00221321912834382,0.0161351705926054,0.0992688163578819,0.00413969647622883,0.0909894234054242,0.10754820931034
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",500,2000,25,0.10978473095927,0.0105247206266123,0.0887352897060454,0.130834172212495,0.0892814160864435,0.00294263582963383,0.0833961444271759,0.0951666877457112,0.0444007866476212,0.0168307556255539,0.0107392753965133,0.078062297898729,0.0214973876720873,0.0088724823941744,0.00375242288373847,0.039242352460436,0.0103026334728169,0.00413184587359776,0.00203894172562134,0.0185663252200124,0.0772593631703306,0.00641792752543722,0.0644235081194561,0.090095218221205
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",500,250,25,0.113162147223472,0.0124918429880396,0.0881784612473928,0.138145833199551,0.278906049526284,0.150005938260207,-0.021105826994129,0.578917926046698,0.74139050585916,0.501743115829883,-0.262095725800606,1.74487673751893,0.56162350623396,0.0603292212839297,0.4409650636661,0.682281948801819,0.117870183478993,0.0191003328386725,0.0796695178016484,0.156070849156338,0.440699809287532,0.186180019903985,0.0683397694795622,0.813059849095501
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",500,500,25,0.111037484658503,0.0124581414533272,0.086121201751849,0.135953767565158,0.285555538773102,0.17463585564956,-0.0637161725260181,0.634827250072222,0.685613420219291,0.368168769728342,-0.0507241192373924,1.42195095967597,0.529282723384652,0.0629874384403715,0.403307846503909,0.655257600265395,0.1085909822454,0.0182795426972098,0.0720318968509803,0.145150067639819,0.424632996590098,0.223395200069108,-0.0221574035481171,0.871423396728313
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",1000,250,25,0.0781385422167439,0.0108950739252988,0.0563483943661463,0.0999286900673416,0.0644946348424192,0.00318811908891634,0.0581183966645865,0.0708708730202519,0.0502740871459755,0.0166760346731394,0.0169220177996968,0.0836261564922542,0.0581965522848152,0.0091389711275321,0.039918610029751,0.0764744945398794,0.00915484400986093,0.00411745678678802,0.000919930436284893,0.017389757583437,0.176074626313957,0.00396851993296371,0.16813758644803,0.184011666179884
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",1000,500,25,0.0741088169191055,0.00649221332376863,0.0611243902715683,0.0870932435666428,0.0626431960629365,0.00196908433371453,0.0587050273955074,0.0665813647303655,0.0335463844760522,0.0117849124898053,0.00997655949644163,0.0571162094556628,0.0291771717024308,0.00632549276361014,0.0165261861752105,0.041828157229651,0.00686413402863798,0.00302824742349264,0.000807639181652696,0.0129206288756233,0.130486501270955,0.00331640019681562,0.123853700877324,0.137119301664587
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",1000,1000,25,0.0734814452608776,0.00635476730533943,0.0607719106501988,0.0861909798715565,0.0618902326756736,0.00110161998398663,0.0596869927077004,0.0640934726436469,0.0271914338097621,0.0129576042878476,0.00127622523406695,0.0531066423854573,0.0190371223113423,0.00642118727409871,0.00619474776314487,0.0318794968595397,0.00596253179842261,0.00341265910559836,-0.0008627864127741,0.0127878500096193,0.0971127207919906,0.00232257661928575,0.0924675675534191,0.101757874030562
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",1000,2000,25,0.0729493947392413,0.00780676198879201,0.0573358707616573,0.0885629187168254,0.0614606831189792,0.00148648065921945,0.0584877218005403,0.0644336444374181,0.0294963135547121,0.0121772578783297,0.00514179779805258,0.0538508293113715,0.0179970516555687,0.00671084388212265,0.00457536389132345,0.031418739419814,0.00677704702092172,0.00300742508796122,0.000762196844999288,0.0127918971968442,0.0725411448706346,0.00317410227031553,0.0661929403300035,0.0788893494112656
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",1000,250,25,0.0759163192347088,0.0106634289634668,0.0545894613077752,0.0972431771616424,0.099461658995954,0.0512865980065165,-0.00311153701707896,0.202034855008987,0.501414019637527,0.0897788273554347,0.321856364926658,0.680971674348397,0.469251931662041,0.0952359652861875,0.278780001089666,0.659723862234416,0.0867173236380603,0.0211467823183262,0.0444237590014079,0.129010888274713,0.2331472128422,0.0907248673296746,0.0516974781828512,0.41459694750155
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",1000,500,25,0.0750584865980882,0.00724265507938692,0.0605731764393144,0.089543796756862,0.0921935153805704,0.0532321136472879,-0.0142707119140053,0.198657742675146,0.490589376207341,0.0825945619008507,0.32540025240564,0.655778500009042,0.46376476541941,0.10119309701662,0.26137857138617,0.666150959452651,0.084168540073471,0.0234075365054308,0.0373534670626094,0.130983613084333,0.181259982234673,0.0989694790337733,-0.016678975832874,0.379198940302219
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",2000,250,25,0.0546549246051892,0.00621372812986335,0.0422274683454625,0.067082380864916,0.0447620558676118,0.00186393258098956,0.0410341907056327,0.0484899210295909,0.0499967626090503,0.0081576782917416,0.0336814060255671,0.0663121191925335,0.0657683188270019,0.00713625961338445,0.051495799600233,0.0800408380537708,0.00803155229209315,0.00211239975603913,0.0038067527800149,0.0122563518041714,0.186886910453119,0.00535695620970469,0.17617299803371,0.197600822872529
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",2000,500,25,0.0529390114959018,0.00586094609281644,0.0412171193102689,0.0646609036815347,0.0439567454548855,0.00152377299358187,0.0409091994677218,0.0470042914420493,0.0251014667274397,0.00943198694772132,0.00623749283199701,0.0439654406228823,0.0271800862533974,0.00546584719378067,0.0162483918658361,0.0381117806409588,0.00467827814886795,0.0024933825012518,-0.000308486853635661,0.00966504315137156,0.129745052570344,0.00157904225826234,0.126586968053819,0.132903137086869
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",2000,1000,25,0.0509394078330048,0.00558663661162507,0.0397661346097547,0.062112681056255,0.043005558228349,0.0011984455044037,0.0406086672195416,0.0454024492371564,0.0220916053059189,0.00771620895579073,0.00665918739433746,0.0375240232175004,0.0168255981550406,0.00498298871327924,0.0068596207284821,0.0267915755815991,0.00487147666416487,0.00185977382689085,0.00115192901038318,0.00859102431794656,0.0954727738191872,0.00158165109100354,0.0923094716371801,0.0986360760011943
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",2000,2000,25,0.0504844774885678,0.00416417230826025,0.0421561328720473,0.0588128221050883,0.0427660732106427,0.00071833556713384,0.041329402076375,0.0442027443449103,0.0197260470718947,0.00751124696042025,0.00470355315105422,0.0347485409927352,0.0139179014198498,0.00383710587884667,0.00624368966215651,0.0215921131775432,0.00450271766345615,0.00187143061496974,0.000759856433516662,0.00824557889339563,0.0704054157311333,0.0013575173428727,0.0676903810453879,0.0731204504168787
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",2000,250,25,0.0532736004215489,0.00618902405906102,0.0408955523034269,0.0656516485396709,0.0653234344145402,0.0518289946719703,-0.0383345549294004,0.168981423758481,0.515776443942763,0.223018074458382,0.069740295025999,0.961812592859528,0.455834971802016,0.123906240590242,0.208022490621532,0.7036474529825,0.0808972074617412,0.0258944021162223,0.0291084032292966,0.132686011694186,0.205504666828335,0.087848531564587,0.0298076036991612,0.381201729957509
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",2000,500,25,0.0525514113324325,0.00593278326477422,0.0406858448028841,0.064416977861981,0.0606284730040362,0.0426665135717711,-0.0247045541395061,0.145961500147578,0.497214187377387,0.0887421768619446,0.319729833653498,0.674698541101276,0.479809834972457,0.0939450837825376,0.291919667407382,0.667700002537533,0.0834217508686021,0.0223700503618406,0.0386816501449208,0.128161851592283,0.158379294141684,0.076743283494683,0.00489272715231834,0.31186586113105
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"3-3-3",100,250,25,0.365483389908123,0.141966752282082,0.0815498853439597,0.649416894472286,0.29233090561194,0.052837920151915,0.18665506530811,0.39800674591577,0.424693461623583,0.157494315830846,0.109704829961891,0.739682093285276,0.189199744290968,0.0378014751601314,0.113596793970705,0.264802694611231,0.0283888125208239,0.00573110668347602,0.0169265991538719,0.039851025887776,0.278640958451115,0.0888290383102742,0.100982881830566,0.456299035071663
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"3-3-3",100,500,25,0.305111342818038,0.0575960797641122,0.189919183289814,0.420303502346263,0.269407458936219,0.0294804657133215,0.210446527509576,0.328368390362862,0.443397195634166,0.139833432833293,0.163730329967581,0.723064061300752,0.183154695363291,0.0301444862216066,0.122865722920077,0.243443667806504,0.0325533420596335,0.00772111450159942,0.0171111130564347,0.0479955710628324,0.234769846559834,0.066614201253384,0.101541444053066,0.367998249066602
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"3-3-3",100,1000,25,0.283130652679603,0.0523180443158461,0.178494564047911,0.387766741311296,0.256712723603527,0.0232188239481261,0.210275075707274,0.303150371499779,0.532066629309147,0.200545631389956,0.130975366529234,0.93315789208906,0.16481012539473,0.037604946169339,0.0896002330560524,0.240020017733408,0.0315263271484771,0.0058001433417967,0.0199260404648837,0.0431266138320705,0.201807054668214,0.0749741993562377,0.0518586559557389,0.35175545338069
