"scenario","rep","np_regime","n","p","H_true","G_true","G_config","K_joint","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","mixture_update","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","parallel_enabled","parallel_workers","method","mean_factor_abs_cor","min_factor_abs_cor","factor_score_rmse","factor_score_raw_rmse","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","pretraining_converged","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","occupied_classes","posterior_kept_draws","mfa_seconds_per_iter","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range"
"rep1_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",1,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.975997634464263,0.960913982832347,0.218001568252985,0.226674911918071,0.892287940019807,0.276583454868315,0.909427769040599,0.414644709395965,NA,NA,0.0925698217065096,0.758824774268989,2.411,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0414524290917903,0.106193437484794,0.99968601282858,0.757332814070336,NA,0.00656550522692655,0.044119872740874,0.0113504240452273,8,8,0.90458372447491,"alpha+loading+joint_mu+joint_var+joint_weight",0.892407013547702,0.906702131890424,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",1,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.539377643781243,0.37690301620755,0.955003803821293,0.979087426859175,0.76245883810561,0.867590971868408,0.960150308348199,0.355635037692534,0.960189045181511,0.354665418179983,0.0997392871725357,0.000725677361147093,7.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8616170174099,1.13239159092397,0.488994865666536,0.282788353246319,NA,0.319128909563655,1.68862909205011,0.844314546025054,8,1,0.765145068998435,"alpha+loading+joint_mu+joint_var+joint_weight",0.760663578518474,0.67995241392701,"alpha+loading+joint_mu+joint_log_var",3,1000,0.003926,FALSE,2000,1.53548982184485,1.18938242136895,1
"rep2_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",2,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.969216162303289,0.966103692311012,0.246884585666031,0.253405149589262,0.906184351465619,0.270947414878941,0.938762494765991,0.31755371848242,NA,NA,0.0953735113030171,0.727599640395565,2.172,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0894004042466223,0.0898241556243815,0.998576649844418,0.786375209634942,NA,0.0197278377147375,0.122842867325265,0.0317237394583707,8,8,0.922306385487773,"alpha+loading+joint_mu+joint_var+joint_weight",0.910871754030186,0.926361394693459,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep2_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",2,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.472512077519678,0.224464872039692,1.02197166619777,0.994197984658993,0.493279676756361,1.02660000112878,0.955270134844508,0.343281330587084,0.955310024526483,0.342954221555945,0.0948964334326304,0.138513822426773,7.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15683230116515,0.81142030130516,0.451393822759841,0.389941735399994,NA,0.214253520755628,1.44267727249403,0.461283069427367,8,3,0.585544198783007,"alpha+loading+joint_mu+joint_var+joint_weight",0.535980064853634,0.535764471526,"alpha+loading+joint_mu+joint_log_var",3,1000,0.003945,FALSE,2000,1.4665898744722,0.964003667948261,1
"rep3_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",3,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.97790150583859,0.971325551005836,0.209177002654668,0.233169913951103,0.823335910608194,0.414092331587315,0.839370647845501,0.682867094368589,NA,NA,0.091923222905403,0.669514049497501,2.274,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.107884432810137,0.0684799916513157,0.99380372439648,0.962926747835775,NA,0.0250450311654534,0.17320822814068,0.0387124452569725,8,8,0.834201878735793,"alpha+loading+joint_mu+joint_var+joint_weight",0.825807155125916,0.844909771519523,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep3_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",3,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.581677704498784,0.346803857998202,0.910097876655257,0.910555329924979,0.75821534027445,0.856025047746909,0.944730221720656,0.447314325725843,0.944760813748799,0.44672212915202,0.0922532602234829,0.142176211792117,7.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41399702692528,0.947029309087854,0.390487674551075,0.414885079863538,NA,0.213861528952972,1.46315844692788,0.43288653954743,8,3,0.735196345466961,"alpha+loading+joint_mu+joint_var+joint_weight",0.748261356532965,0.659944890096212,"alpha+loading+joint_mu+joint_log_var",3,1000,0.003896,FALSE,2000,1.43129475538649,0.708791109617662,1
"rep4_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",4,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.978670261246388,0.971463130909305,0.205506405574504,0.243157582323752,0.898715856584079,0.285429443385263,0.917900390865925,0.387806161652839,NA,NA,0.0956827918239567,0.717749896472658,2.314,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.182086064472353,0.0944392799251055,0.984084318949443,0.766157459018813,NA,0.0418242908939055,0.302932494949049,0.0658278377699494,8,8,0.909587272244914,"alpha+loading+joint_mu+joint_var+joint_weight",0.899562212064656,0.909898373834773,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep4_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",4,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.509038492545815,0.34639362276178,0.985953236598616,0.994690855453811,0.628159234718226,0.98000705739463,0.950125951105627,0.406207970275844,0.950104469517747,0.405561027613326,0.0939454954998474,0.00312415218021623,7.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46989964964866,1.03116127871881,0.426119807427376,0.396058422511082,NA,0.295984332351743,1.56233834223799,0.781169171118997,8,3,0.676789747760066,"alpha+loading+joint_mu+joint_var+joint_weight",0.646886368940816,0.606852455309467,"alpha+loading+joint_mu+joint_log_var",2,1000,0.003902,FALSE,2000,1.51103379356313,1.24257350808055,1
"rep5_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",5,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.978577528275451,0.973188728258532,0.205952649933443,0.241403484006429,0.849906210325293,0.34583608714139,0.882215026301588,0.526876109204401,NA,NA,0.0979616274248623,0.734317933406201,2.252,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.104007226774461,0.083138453823465,0.99542417078853,0.85485716953721,NA,0.022999052621099,0.18115090023899,0.0292715774922308,8,8,0.869492506739065,"alpha+loading+joint_mu+joint_var+joint_weight",0.856348023010477,0.87568744681211,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep5_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",5,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.53306443960098,0.415322669675186,0.961526083676392,0.988443030169526,0.791031653057375,0.89143048481335,0.960665812863081,0.352820986131476,0.960622557721023,0.352603087430715,0.0972708421122607,0.00251626074158475,7.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80121315730895,1.20854514505804,0.366497790521496,0.226836712162985,NA,0.322765840318942,1.70782742758053,0.853913713790264,8,2,0.750075304022654,"alpha+loading+joint_mu+joint_var+joint_weight",0.768762179239088,0.658276352993473,"alpha+loading+joint_mu+joint_log_var",2,1000,0.0039005,FALSE,2000,1.71281068605714,0.895785021020751,2
